id,rle_mask
3791842a6d,1 5050 5056 96 5162 39 5203 50 5264 30 5311 43 5366 29 5416 39 5468 29 5521 35 5571 23 5624 33 5676 7 5689 6 5727 31 5830 29 5934 26 6037 24 6139 23 6242 21 6359 5 6462 3 6565 1 7474 1 7573 3 7672 5 7770 8 7870 9 7971 9 8071 10 8172 10 8274 9 8375 9 8476 9 8578 8 8680 7 8782 6 8884 5 8986 4 9089 2
dbe559c0ed,
dbf7801ea6,
375661a521,
6fb522de93,1 5150 5152 97 5253 94 5354 92 5455 89 5556 87 5657 84 5758 80 5859 78 5960 75 6061 72 6162 69 6263 67 6364 66 6465 64 6566 63 6667 62 6768 61 6869 59 6970 57 7071 54 7172 51 7273 48 7374 45 7475 43 7576 41 7677 40 7778 40 7879 39 7980 38 8081 38 8182 36 8283 35 8384 33 8485 31 8586 28 8687 25 8788 23 8889 20 8990 17 9091 14 9192 12 9293 10 9394 7 9495 5 9596 3
37676b8fa4,1 29 102 29 203 29 304 28 405 27 506 26 607 25 708 24 809 23 910 22 1011 21 1112 19 1213 18 1314 17 1415 15 1516 14 1617 13 1718 11 1819 10 1920 9 2021 8 2122 7 2223 6 2324 5 2425 5 2526 4 2627 3 2728 1
6f2bded59b,2812 17 2909 21 3008 23 3107 25 3207 26 3307 27 3407 28 3508 28 3609 28 3709 29 3810 29 3911 29 4011 30 4112 30 4212 31 4313 31 4414 31 4516 30 4617 30 4718 30 4819 30 4920 30 5021 30 5122 30 5222 31 5323 31 5424 31 5525 31 5626 31 5727 31 5828 31 5929 31 6031 30 6132 30 6233 30 6334 30 6435 30 6536 30 6637 30 6739 29 6840 29 6941 29 7042 29 7144 28 7245 28 7346 28 7447 28 7548 28 7649 28 7750 28 7851 28 7952 28 8053 28 8153 29 8254 29 8355 29 8456 29 8557 29 8658 29 8759 29 8861 28 8962 28 9063 28 9164 28 9265 28 9366 28 9467 28 9568 28 9669 28 9770 28 9871 28 9972 28 10073 28 10174 28
1aeaa85dae,
6e807dbef1,
6f2a1691c4,88 14 191 12 293 11 395 10 500 6 602 5 706 2
6e7bef0170,
da90e6e56f,7 95 108 95 209 95 311 94 412 94 513 94 615 93 716 93 818 92 919 92 1020 92 1121 92 1223 91 1324 91 1425 91 1525 92 1626 92 1727 92 1827 93 1928 93 2029 93 2130 93 2231 93 2332 93 2433 93 2535 92 2636 92 2737 92 2838 92 2939 92 3040 92 3141 92 3242 92 3343 92 3444 92 3545 92 3646 92 3747 92 3848 92 3949 92 4050 92 4151 92 4252 92 4354 91 4455 91 4556 91 4657 91 4758 91 4859 91 4960 91 5061 91 5161 92 5262 92 5363 92 5464 92 5565 92 5666 92 5767 92 5868 92 5969 92 6070 92 6171 92 6273 91 6374 91 6475 91 6576 91 6677 91 6779 90 6880 90 6981 90 7082 90 7183 90 7284 90 7385 90 7486 90 7587 90 7689 89 7790 89 7891 89 7992 89 8093 89 8194 89 8296 88 8397 88 8499 87 8600 87 8702 86 8803 86 8904 86 9005 86 9106 86 9207 86 9307 87 9408 87 9510 86 9611 86 9712 86 9813 86 9915 85 10016 85 10117 85
00bbed5966,
da28696786,1 91 102 91 203 91 304 91 405 91 506 91 607 91 708 91 809 91 910 91 1011 91 1112 91 1213 91 1314 91 1415 91 1516 92 1617 92 1718 92 1819 92 1920 91 2021 90 2122 89 2223 88 2324 87 2425 87 2526 87 2627 86 2728 86 2829 86 2930 87 3031 87 3132 86 3233 86 3334 86 3435 86 3536 86 3637 86 3738 86 3839 86 3940 86 4041 86 4142 86 4243 86 4344 86 4445 86 4546 86 4647 86 4748 86 4849 86 4950 86 5051 87 5152 87 5253 87 5354 88 5455 88 5556 89 5657 89 5758 90 5859 91 5960 91 6061 91 6162 91 6263 91 6364 91 6465 91 6566 91 6667 91 6768 91 6869 91 6970 90 7071 90 7172 89 7273 88 7374 88 7475 88 7576 88 7677 89 7778 90 7879 90 7980 90 8081 91 8182 91 8283 91 8384 91 8485 91 8586 91 8687 91 8788 91 8889 91 8990 91 9091 91 9192 91 9293 91 9394 91 9495 91 9596 91 9697 91 9798 92 9899 92 10000 92 10101 93
da75372c30,
36f3c069ac,23 79 125 78 227 77 329 76 432 74 539 68 650 58 757 52 864 46 978 33 1085 27 1192 21 1304 10 1410 5
d97e6ffda3,
00cbbf2293,
d96c4efcda,3229 4 3327 7 3424 11 3522 14 3619 18 3717 21 3816 23 3915 25 4011 30 4102 40 4199 44 4296 48 4396 49 4496 50 4597 50 4697 51 4799 50 4900 50 5002 49 5104 48 5213 40 5317 37 5430 25 5534 22 5639 18 5743 15 5848 11 5953 7 6058 3
6dd1746fdf,1 20 102 19 203 18 304 17 405 15 506 11 607 8 708 7 809 7 910 6 1011 6 1112 6 1213 6 1314 5 1415 5 1516 3 1617 1
36e8817ef5,51 51 153 50 254 50 356 49 458 48 559 48 661 47 763 46 864 46 966 45 1068 44 1171 42 1273 41 1375 40 1477 39 1579 38 1680 38 1782 37 1884 36 1986 35 2088 34 2190 33 2292 32 2394 31 2496 30 2598 29 2700 28 2803 26 2905 25 3007 24 3109 23 3210 23 3312 22 3414 21 3515 21 3617 20 3719 19 3821 18 3923 17 4025 16 4128 14 4230 13 4332 12 4434 11 4536 10 4639 8 4742 6 4844 5 4946 4 5048 3
6d5bf5fde0,2827 2 2927 3 3027 4 3127 5 3228 5 3329 5 3429 6 3530 6 3631 6 3732 6 3833 6 3934 6 4035 6 4136 6 4236 7 4337 7 4438 7 4539 7 4640 7 4741 7 4842 7 4944 6 5045 6 5146 6 5249 4 5351 3 8584 2 8683 4 8783 5 8883 6 8983 7 9082 9 9183 9 9283 10 9384 10 9485 10 9586 10 9687 10 9788 10 9890 9 9991 9 10093 8 10194 8
1a7b40b40e,
6c91aa602d,1 95 102 95 203 95 304 96 405 97 506 98 607 99 708 9494
367b744d2d,5252 1 5329 8 5348 6 5427 16 5446 9 5524 32 5613 6 5622 35 5708 50 5804 1 5808 52 5899 63 5999 67 6098 4104
d81b53a8c1,
d86ca1254a,2330 3 2429 7 2526 15 2586 36 2624 24 2681 72 2778 81 2871 2472 5349 78 5453 72 5556 68 5657 66 5758 60 5859 55 5960 51 6061 47 6162 43 6263 38 6364 35 6465 31 6566 28 6667 26 6768 24 6869 22 6970 20 7071 18 7172 16 7273 14 7374 13 7475 11 7576 9 7677 7 7778 6 7879 4 7980 1
6c65ab86f5,
6c48112d73,71 31 172 31 273 31 373 32 473 33 574 33 674 34 775 34 875 35 976 35 1077 35 1177 36 1278 36 1379 36 1479 37 1580 37 1680 38 1781 38 1881 39 1981 40 2081 41 2181 42 2281 43 2382 43 2482 44 2583 44 2683 45 2783 46 2883 47 2983 48 3084 48 3185 48 3286 48 3387 48 3488 48 3589 48 3691 47 3792 47 3893 47 3994 47 4095 47 4196 47 4296 48 4397 48 4498 48 4599 48 4700 48 4801 48 4902 48 5003 48 5104 48 5205 48 5306 48 5407 48 5508 48 5609 48 5709 49 5810 49 5912 48 6013 48 6115 47 6217 46 6319 45 6422 43 6524 42 6628 39 6731 37 6834 35 6937 33 7039 32 7142 30 7245 28 7347 27 7450 25 7555 21 7659 18 7764 14
d6b4003095,3838 1 3937 3 4038 3 4138 4 4238 5 4337 7 4437 8 4536 10 4636 11 4735 13 4835 14 4936 14 5036 15 5137 15 5238 15 5339 15 5441 14 5542 14 5643 14 5745 13 5846 13 5947 13 6048 13 6148 14 6249 14 6349 15 6449 16 6549 17 6649 18 6749 19 6850 19 6950 20 7051 20 7152 20 7253 20 7353 21 7454 21 7555 21 7656 21 7757 21 7857 22 7958 22 8059 22 8160 22 8261 22 8361 23 8462 23 8563 23 8664 23 8766 22 8867 22 8968 22 9069 22 9170 22 9271 22 9372 22 9473 22 9574 22 9675 22 9776 22 9877 22 9978 22 10079 22 10181 21
d6d62e9b41,58 44 159 44 260 44 361 44 461 45 561 46 661 47 761 48 862 48 962 49 1062 50 1162 51 1262 52 1362 53 1462 54 1563 54 1663 55 1763 56 1864 56 1964 57 2064 58 2165 58 2265 59 2365 60 2465 61 2565 62 2665 63 2766 63 2866 64 2966 65 3066 66 3167 66 3267 67 3367 68 3468 68 3568 69 3669 69 3769 70 3869 71 3970 71 4070 72 4171 72 4271 73 4372 73 4473 73 4574 73 4675 73 4777 72 4879 71 4980 71 5081 71 5182 71 5284 70 5385 70 5486 70 5588 69 5689 69 5791 68 5893 67 5995 66 6097 65 6199 64 6301 63 6403 62 6506 60 6609 58 6712 56 6814 55 6916 54 7017 54 7118 54 7219 54 7320 54 7421 54 7521 55 7622 55 7723 55 7825 54 7927 53 8029 52 8132 50 8234 49 8336 48 8439 46 8541 45 8643 44 8745 43 8848 41 8949 41 9051 40 9153 39 9254 39 9356 38 9457 38 9558 38 9660 37 9761 37 9862 37 9963 37 10064 37 10165 37
d6e3f898b0,1 50 102 50 203 51 304 51 405 52 506 52 607 53 708 54 809 54 910 55 1011 55 1112 56 1213 56 1314 57 1415 57 1516 57 1617 58 1718 59 1819 59 1920 59 2021 60 2122 60 2223 61 2324 61 2425 62 2526 63 2627 64 2728 65 2829 65 2930 66 3031 68 3132 69 3233 72 3334 74 3435 76 3536 78 3637 80 3738 83 3839 87 3940 91 4041 3131 7175 98 7278 96 7380 95 7482 94 7584 93 7686 92 7788 91 7890 90 7992 89 8095 87 8199 84 8303 81 8405 80 8508 78 8610 77 8713 75 8816 73 8920 70 9025 66 9130 62 9233 60 9338 56 9441 54 9544 52 9647 50 9750 48 9852 47 9954 46 10056 45 10157 45
d6fdb80bae,1617 3 1718 5 1819 6 1920 7 2021 8 2122 10 2223 11 2324 12 2425 13 2526 14 2627 15 2728 16 2829 17 2930 19 3031 20 3132 21 3233 22 3334 23 3435 25 3536 27 3637 29 3738 31 3839 32 3940 34 4041 35 4142 37 4243 38 4344 39 4445 41 4546 42 4647 44 4748 46 4849 47 4950 49 5051 51 5152 53 5253 55 5354 58 5455 60 5556 63 5657 65 5758 67 5859 69 5960 72 6061 74 6162 76 6263 77 6364 79 6465 80 6566 83 6667 86 6768 88 6869 90 6970 93 7071 95 7172 96 7273 99 7374 2828
6a86f75986,1 2323 2327 98 2430 96 2532 95 2635 93 2737 92 2840 90 2942 89 3045 87 3147 86 3249 85 3351 84 3453 83 3556 81 3658 80 3760 79 3862 78 3965 76 4068 74 4170 73 4272 72 4374 71 4477 69 4579 68 4681 67 4783 66 4885 65 4987 64 5090 62 5192 61 5294 60 5397 58 5500 56 5603 54 5705 53 5808 51 5910 50 6013 48 6115 47 6217 46 6320 44 6424 41 6527 39 6630 37 6733 35 6836 33 6939 31 7043 28 7145 27 7247 26 7349 25 7451 24 7553 23 7654 23 7756 22 7858 21 7961 19 8063 18 8166 16 8269 14 8372 12 8474 11 8577 9 8680 7 8782 6 8885 4 8987 3
6bedfa8083,1 10201
014df49b3c,
1a1383df07,1 49 102 49 203 49 304 49 405 50 506 51 607 52 708 53 809 54 910 55 1011 55 1112 56 1213 56 1314 57 1415 57 1516 58 1617 59 1718 60 1819 60 1920 61 2021 62 2122 63 2223 63 2324 64 2425 64 2526 65 2627 65 2728 66 2829 66 2930 67 3031 67 3132 68 3233 68 3334 69 3435 69 3536 70 3637 71 3738 71 3839 71 3940 72 4041 72 4142 73 4243 73 4344 73 4445 73 4546 73 4647 74 4748 74 4849 74 4950 73 5051 73 5152 73 5253 73 5354 73 5455 73 5556 73 5657 73 5758 73 5859 72 5960 72 6061 72 6162 72 6263 72 6364 71 6465 71 6566 71 6667 71 6768 70 6869 70 6970 70 7071 70 7172 69 7273 69 7374 69 7475 69 7576 68 7677 68 7778 68 7879 68 7980 67 8081 67 8182 67 8283 67 8384 67 8485 66 8586 66 8687 66 8788 66 8889 66 8990 66 9091 65 9192 65 9293 65 9394 65 9495 65 9596 65 9697 65 9798 65 9899 65 10000 65 10101 65
d3ada660bd,
d5fbaeab9c,
69cb0653e5,
d361e24d92,1 86 102 87 203 87 304 88 405 90 506 91 607 92 708 93 809 94 910 94 1011 94 1112 95 1213 95 1314 95 1415 95 1516 95 1617 95 1718 95 1819 96 1920 96 2021 96 2122 96 2223 97 2324 99 2425 100 2526 3232 5759 100 5862 98 5964 97 6065 97 6166 97 6267 97 6368 97 6469 97 6570 97 6669 99 6769 3433
353e010b7b,
19edb31599,
34fee0c28d,1 2121 2127 96 2232 92 2336 89 2440 86 2543 84 2647 81 2752 77 2856 74 2961 70 3065 67 3170 63 3273 61 3376 59 3479 57 3582 55 3685 53 3787 52 3889 51 3991 50 4093 49 4195 48 4297 47 4399 46 4502 44 4604 43 4707 41 4809 40 4912 38 5014 37 5116 36 5218 35 5320 34 5422 33 5524 32 5627 30 5729 29 5831 28 5933 27 6034 27 6136 26 6237 26 6339 25 6440 25 6541 25 6643 24 6744 24 6845 24 6947 23 7048 23 7150 22 7251 22 7353 21 7454 21 7556 20 7657 20 7759 19 7860 19 7961 19 8063 18 8164 18 8266 17 8368 16 8469 16 8571 15 8672 15 8773 15 8875 14 8976 14 9078 13 9179 13 9281 12 9382 12 9483 12 9585 11 9686 11 9788 10 9889 10 9991 9 10092 9 10193 9
69bc7087d5,8582 4 8681 6 8779 9 8878 11 8977 13 9076 15 9176 16 9276 17 9376 18 9475 20 9575 21 9676 21 9776 22 9876 23 9976 24 10077 24 10178 24
d3618783eb,32 70 134 69 235 69 337 68 440 66 542 65 644 64 746 63 848 62 950 61 1053 59 1155 58 1257 57 1359 56 1460 56 1562 55 1664 54 1766 53 1868 52 1969 52 2070 52 2171 52 2272 52 2373 52 2475 51 2578 49 2681 47 2786 43 2895 35 3003 28 3111 21 3216 17 3319 15 3421 14 3522 14 3624 13 3725 13 3826 13 3927 13 4027 14 4127 15 4227 16 4327 17 4428 17 4529 17 4630 17 4732 16 4833 16 4936 14 5038 13 5141 11 5245 8 5348 6 5450 5 5552 4 5653 4 5755 3 5858 1 6766 2 6865 4 6965 5 7065 6 7165 7 7266 7 7367 7 7468 7 7569 7 7669 8 7770 8 7871 8 7972 8 8073 8 8175 7 8277 6 8379 5 8480 5 8582 4 8684 3 9796 2 9895 4 9995 5 10094 7 10194 8
d33ac09d91,
6945362fd4,9291 2 9380 14 9468 27 9565 31 9663 34 9742 56 9839 60 9938 62 10038 63 10138 64
695da8b59b,
d2e5b43517,
68deafa4a7,
d1cfe0c1f6,12 52 113 52 217 48 320 45 421 45 522 44 623 44 723 44 824 44 924 45 1024 46 1123 48 1220 52 1314 58 1415 58 1516 58 1617 57 1718 57 1819 57 1920 57 2021 57 2122 57 2223 57 2324 57 2425 57 2526 56 2627 56 2728 56 2829 56 2930 56 3031 56 3132 55 3233 55 3334 54 3435 54 3536 53 3637 53 3738 53 3839 52 3940 52 4041 52 4142 52 4243 52 4344 52 4445 52 4546 52 4647 52 4748 52 4849 51 4950 51 5051 50 5152 50 5253 49 5354 48 5455 48 5556 47 5657 47 5758 47 5859 47 5960 47 6061 47 6162 47 6263 47 6364 47 6465 47 6566 47 6667 47 6768 47 6869 47 6970 47 7071 47 7172 46 7273 46 7374 46 7475 46 7576 45 7677 45 7778 45 7879 45 7980 44 8081 44 8182 43 8283 42 8384 42 8485 41 8586 40 8687 40 8788 39 8889 39 8990 38 9091 38 9192 37 9293 36 9394 35 9495 34 9596 34 9697 33 9798 32 9899 32 10000 31 10101 31
d13f2aa25a,
d0da4f7de7,1 4040 4042 100 4146 97 4247 97 4349 96 4451 95 4553 94 4655 93 4756 93 4858 92 4959 92 5060 92 5161 92 5262 92 5363 92 5464 92 5565 92 5666 92 5768 91 5870 90 5973 88 6075 87 6179 84 6284 80 6389 76 6493 73 6596 71 6699 69 6803 66 6905 65 7008 63 7111 61 7215 58 7317 57 7420 55 7522 54 7624 53 7725 53 7827 52 7928 52 8029 52 8131 51 8232 51 8333 51 8434 51 8536 50 8637 50 8738 50 8839 50 8940 50 9040 51 9140 52 9240 53 9340 54 9440 55 9540 56 9640 57 9740 58 9840 59 9940 60 10040 61 10141 61
d06d2ba008,
01f5dedbf0,
67e59dec89,1 3430 3435 93 3536 89 3637 82 3738 75 3839 72 3940 69 4041 66 4142 64 4243 63 4344 62 4445 61 4546 59 4647 58 4748 57 4849 57 4950 57 5051 57 5152 57 5253 57 5354 58 5455 59 5556 60 5657 61 5758 61 5859 61 5960 61 6061 61 6162 60 6263 60 6364 59 6465 58 6566 56 6667 53 6768 49 6869 46 6970 44 7071 42 7172 39 7273 36 7374 33 7475 31 7576 29 7677 28 7778 27 7879 26 7980 25 8081 24 8182 23 8283 22 8384 21 8485 20 8586 19 8687 18 8788 18 8889 17 8990 16 9091 15 9192 14 9293 13 9394 12 9495 10 9596 8 9697 6 9798 5 9899 4 10000 3 10101 2
68220c08c2,
d05176b53c,6156 6 6250 13 6344 20 6439 26 6535 31 6626 41 6720 48 6816 53 6913 57 7010 61 7106 66 7203 70 7299 75 7395 80 7492 84 7589 88 7686 92 7782 2420
020a0335b5,1 16 102 17 203 17 304 17 405 17 506 17 607 17 708 17 809 17 910 17 1011 17 1112 17 1213 17 1314 17 1415 16 1516 16 1617 15 1718 15 1819 14 1920 14 2021 14 2122 13 2223 13 2324 12 2425 12 2526 12 2627 12 2728 11 2829 11 2930 11 3031 10 3132 10 3233 9 3334 8 3435 7 3536 6 3637 6 3738 5 3839 4 3940 4 4041 3 4142 1
d02a7dc593,53 49 154 49 254 50 355 50 455 51 555 52 656 52 756 53 857 53 957 54 1058 54 1159 54 1259 55 1359 56 1459 57 1560 57 1659 59 1759 60 1859 61 1959 62 2059 63 2159 64 2259 65 2359 66 2460 66 2561 66 2662 66 2763 66 2865 65 2966 65 3067 65 3168 65 3269 65 3369 66 3470 66 3570 67 3671 67 3772 67 3873 67 3974 67 4075 67 4177 66 4278 66 4381 64 4483 63 4585 62 4688 60 4790 59 4893 57 4997 54 5101 51 5207 46 5313 41 5419 36 5524 32 5629 28 5735 14 5753 5
67ccf95c75,1314 9 1415 20 1516 25 1617 30 1718 35 1819 38 1920 39 2021 41 2122 42 2223 43 2324 44 2425 45 2526 46 2627 47 2728 48 2829 50 2930 51 3031 54 3132 57 3233 61 3334 66 3435 75 3536 82 3637 88 3738 95 3839 6363
d0190aaf62,
cfe57ea3fa,
cfa895be5c,
18f3cb6bd1,1 10201
ce96a07785,
ce9b8cc11e,1 3957 3959 99 4060 89 4150 4 4163 1 4169 80 4272 72 4372 73 4473 73 4578 69 4679 69 4780 69 4881 69 4983 68 5084 68 5186 67 5287 67 5388 67 5488 68 5587 70 5689 69 5792 67 5894 66 5994 67 6095 41 6142 20 6197 28 6233 4 6244 19 6300 25 6335 2 6346 18 6403 8 6414 12 6429 1 6447 18 6506 5 6515 11 6548 18 6608 2 6622 5 6650 17 6752 16 6854 15 6956 14 7057 14 7164 8 7265 8 7367 7 7469 3 7474 1 7571 2
33e736f52e,
ce062742bf,
33d638b9bd,1 63 102 64 203 64 304 65 405 67 506 69 607 71 708 74 809 76 910 79 1011 81 1112 83 1213 85 1314 86 1415 87 1516 88 1617 90 1718 91 1819 93 1920 95 2021 96 2122 97 2223 98 2324 7878
33be55293b,
cdb1d2185f,
665452e731,
cd90c05864,
cdab88a890,1011 2 1112 5 1213 8 1314 10 1415 13 1516 14 1617 17 1718 20 1819 23 1920 25 2021 28 2122 30 2223 33 2324 35 2425 37 2526 39 2627 41 2728 43 2829 45 2930 46 3031 48 3132 49 3233 51 3334 53 3435 54 3536 56 3637 58 3738 59 3839 61 3940 62 4041 63 4142 65 4243 66 4344 67 4445 69 4546 70 4647 72 4748 73 4849 74 4950 76 5051 77 5152 78 5253 79 5354 80 5455 81 5556 82 5657 83 5758 84 5859 85 5960 87 6061 89 6162 91 6263 93 6364 95 6465 96 6566 98 6667 3535
027f49e160,9495 1 9596 1 9697 1 9798 1 9899 2 10000 2 10101 3
33b3e958fb,
664dd976a9,89 13 191 12 293 11 395 10 498 8 600 7 703 5 806 3
ccec631d75,50 52 151 52 252 52 353 52 454 52 556 51 657 51 758 51 859 51 961 50 1062 50 1163 50 1264 50 1365 50 1466 50 1567 50 1668 50 1769 50 1870 50 1971 50 2072 50 2173 50 2274 50 2375 50 2477 49 2578 49 2679 49 2780 49 2881 49 2983 48 3084 48 3185 48 3286 48 3387 48 3488 48 3589 48 3690 48 3791 48 3892 48 3993 48 4094 48 4195 48 4296 48 4397 48 4498 48 4599 48 4700 48 4801 48 4902 48 5003 48 5103 49 5204 49 5305 49 5406 49 5507 49 5608 49 5710 48 5811 48 5912 48 6013 48 6115 47 6216 47 6318 46 6419 46 6521 45 6622 45 6724 44 6826 43 6928 42 7030 41 7132 40 7234 39 7337 37 7439 36 7541 35 7644 33 7747 31 7849 30 7952 28 8054 27 8156 26 8258 25 8360 24 8462 23 8564 22 8666 21 8768 20 8870 19 8972 18 9074 17 9176 16 9278 15 9379 15 9481 14 9582 14 9684 13 9786 12 9888 11 9989 11 10091 10 10192 10
cd09e4859e,
cd21f9a20e,
02999b160b,4513 21 4611 30 4642 5 4707 41 4806 43 4907 43 5007 44 5093 2 5097 2 5107 45 5193 10 5207 46 5292 62 5392 63 5467 1 5471 85 5559 98 5658 4544
ccd33818b2,
188f970073,1 8685 8687 98 8788 96 8889 95 8990 95 9091 94 9192 93 9293 92 9394 92 9495 91 9596 91 9697 91 9798 90 9899 91 9999 91 10100 91 10200 2
65a338624e,21 81 122 81 224 80 326 79 428 78 530 77 632 76 733 76 835 75 937 74 1039 73 1140 73 1242 72 1344 71 1446 70 1548 69 1649 69 1751 68 1853 67 1955 66 2057 65 2159 64 2261 63 2364 61 2466 60 2568 59 2670 58 2771 58 2873 57 2975 56 3077 55 3180 53 3282 52 3384 51 3486 50 3587 50 3689 49 3790 49 3892 48 3993 48 4095 47 4197 46 4298 46 4400 45 4502 44 4603 44 4705 43 4807 42 4908 42 5010 41 5112 40 5214 39 5316 38 5419 36 5521 35 5623 34 5725 33 5828 31 5930 30 6032 29 6134 28 6236 27 6338 26 6440 25 6542 24 6644 23 6745 23 6847 22 6948 22 7050 21 7151 21 7253 20 7354 20 7456 19 7557 19 7658 19 7760 18 7861 18 7963 17 8064 17 8165 17 8267 16 8368 16 8469 16 8570 16 8671 16 8772 16 8873 16 8974 16 9074 17 9175 17 9276 17 9378 16 9479 16 9580 16 9681 16 9782 16 9883 16 9984 16 10086 15 10187 15
65c5edcfa3,3132 4 3233 8 3334 12 3435 15 3536 18 3637 20 3738 22 3839 25 3940 27 4041 30 4142 34 4243 38 4344 41 4445 43 4546 46 4647 48 4748 50 4849 51 4950 52 5051 54 5152 56 5253 59 5354 62 5455 64 5556 66 5657 69 5758 72 5859 74 5960 77 6061 81 6158 89 6257 3945
cc4dd6c823,80 22 181 22 282 22 383 22 484 22 586 21 687 21 788 21 889 21 990 21 1092 20 1193 20 1294 20 1395 20 1496 20 1597 20 1698 20 1799 20 1900 20 2001 20 2102 20 2203 20 2304 20 2405 20 2505 21 2606 21 2707 21 2807 22 2908 22 3009 22 3109 23 3210 23 3311 23 3412 23 3512 24 3613 24 3713 25 3814 25 3914 26 4015 26 4115 27 4215 28 4316 28 4416 29 4516 30 4616 31 4717 31 4817 32 4918 32 5018 33 5119 33 5219 34 5320 34 5421 34 5521 35 5622 35 5723 35 5824 35 5924 36 6025 36 6126 36 6227 36 6327 37 6428 37 6529 37 6630 37 6731 37 6832 37 6932 38 7033 38 7135 37 7236 37 7337 37 7438 37 7540 36 7641 36 7742 36 7843 36 7944 36 8045 36 8146 36 8246 37 8347 37 8447 38 8548 38 8649 38 8750 38 8851 38 8952 38 9053 38 9154 38 9254 39 9355 39 9456 39 9557 39 9659 38 9761 37 9862 37 9964 36 10065 36 10166 36
cbf0cdfe2a,3450 2 3453 1 3550 6 3649 9 3678 5 3711 2 3749 11 3778 6 3786 2 3809 5 3850 11 3877 8 3886 5 3903 13 3950 13 3976 17 4001 21 4044 1 4050 15 4066 1 4071 24 4099 27 4142 4 4150 81 4233 2 4243 4 4249 88 4342 5860
cb88a4e70a,
cb9c3597e8,
6550e7b59a,1 1
cb2a2e89d3,1 8181 8183 100 8287 97 8390 95 8493 93 8596 91 8698 90 8801 88 8903 87 9005 86 9108 84 9210 83 9313 81 9415 80 9518 78 9620 77 9723 75 9825 74 9926 74 10028 73 10130 72
6567f59d54,5958 2 6058 3 6159 3 6259 4 6359 5 6460 5 6560 6 6660 7 6761 7 6862 7 6962 8 7063 8 7163 9 7264 9 7365 9 7466 9 7567 9 7668 9 7769 9 7870 9 7971 9 8072 9 8173 9 8273 10 8374 10 8475 10 8575 11 8676 11 8777 11 8878 11 8979 11 9080 11 9181 11 9282 11 9383 11 9484 11 9585 11 9686 11 9787 11 9888 11 9989 11 10091 10 10192 10
c9049a4fa8,
